id,first_name,last_name,email,gender,dob,country,car_id,id,make,model,price
2,Dalila,Frances,dfrances1@ucsd.edu,Genderfluid,2023-11-21,Uganda,1,1,Pontiac,Grand Am,81021.39
4,Fabiano,Craigie,,Male,2023-07-20,China,2,2,Suzuki,Forenza,86423.76
5,Yvonne,Overnell,yovernell4@aol.com,Female,2023-09-13,Poland,3,3,Mercedes-Benz,C-Class,65165.57
10,Lorain,Gradly,lgradly9@acquirethisname.com,Female,2023-01-10,Azerbaijan,6,6,Chevrolet,Corvette,13785.01
9,Tallie,Leynton,,Male,2023-10-07,Myanmar,7,7,Infiniti,QX56,26809.07
6,Shirlene,Riolfo,sriolfo5@booking.com,Female,2023-04-07,Cuba,,,,,
7,Terese,Clulee,,Female,2023-05-11,China,,,,,
8,Asher,Barnes,abarnes7@howstuffworks.com,Male,2023-10-20,China,,,,,
3,Roanne,Hutfield,,Female,2023-07-27,Poland,,,,,
1,Javier,Reichardt,,Male,2023-07-02,Ukraine,,,,,
